date,pole,forecast_lines,employees_required,company
2026-05-20,PICKING,6370,6,S
2026-05-21,PICKING,6370,6,S
2026-05-22,PICKING,6370,6,S
2026-05-23,PICKING,6370,6,S
2026-05-24,PICKING,6370,6,S
2026-05-25,PICKING,6370,6,S
2026-05-26,PICKING,6370,6,S
2026-05-20,PICKING,25000,24,S
2026-05-21,PICKING,25000,24,S
2026-05-22,PICKING,25000,24,S
2026-05-23,PICKING,25000,24,S
2026-05-24,PICKING,25000,24,S
2026-05-25,PICKING,25000,24,S
2026-05-26,PICKING,25000,24,S
2026-12-24,PICKING,6280,6,S
2026-12-25,PICKING,6280,6,S
2026-12-26,PICKING,6280,6,S
2026-12-27,PICKING,6280,6,S
2026-12-28,PICKING,6280,6,S
2026-12-29,PICKING,6280,6,S
2026-12-30,PICKING,6280,6,S
2026-05-20,PICKING,24250,23,S
2026-05-21,PICKING,24250,23,S
2026-05-22,PICKING,24250,23,S
2026-05-23,PICKING,24250,23,S
2026-05-24,PICKING,24250,23,S
2026-05-25,PICKING,24250,23,S
2026-05-26,PICKING,24250,23,S
2026-12-25,PICKING,24250,23,S
2026-12-26,PICKING,24250,23,S
2026-12-27,PICKING,24250,23,S
2026-12-28,PICKING,24250,23,S
2026-12-29,PICKING,24250,23,S
2026-12-30,PICKING,24250,23,S
2026-12-31,PICKING,24250,23,S
2026-12-24,PICKING,24250,23,S
2026-12-25,PICKING,24250,23,S
2026-12-26,PICKING,24250,23,S
2026-12-27,PICKING,24250,23,S
2026-12-28,PICKING,24250,23,S
2026-12-29,PICKING,24250,23,S
2026-12-30,PICKING,24250,23,S
2026-12-24,PICKING,24250,23,S
2026-12-25,PICKING,24250,23,S
2026-12-26,PICKING,24250,23,S
2026-12-27,PICKING,24250,23,S
2026-12-28,PICKING,24250,23,S
2026-12-29,PICKING,24250,23,S
2026-12-30,PICKING,24250,23,S
2026-12-24,PICKING,24250,23,S
2026-12-25,PICKING,24250,23,S
2026-12-26,PICKING,24250,23,S
2026-12-27,PICKING,24250,23,S
2026-12-28,PICKING,24250,23,S
2026-12-29,PICKING,24250,23,S
2026-12-30,PICKING,24250,23,S
2026-12-24,PICKING,24250,23,S
2026-12-25,PICKING,24250,23,S
2026-12-26,PICKING,24250,23,S
2026-12-27,PICKING,24250,23,S
2026-12-28,PICKING,24250,23,S
2026-12-29,PICKING,24250,23,S
2026-12-30,PICKING,24250,23,S
2026-12-24,PICKING,24250,23,S
2026-12-25,PICKING,24250,23,S
2026-12-26,PICKING,24250,23,S
2026-12-27,PICKING,24250,23,S
2026-12-28,PICKING,24250,23,S
2026-12-29,PICKING,24250,23,S
2026-12-30,PICKING,24250,23,S
2026-05-20,PICKING,24250,23,S
2026-05-21,PICKING,24250,23,S
2026-05-22,PICKING,24250,23,S
2026-05-23,PICKING,24250,23,S
2026-05-24,PICKING,24250,23,S
2026-05-25,PICKING,24250,23,S
2026-05-26,PICKING,24250,23,S
2026-12-24,PICKING,24250,23,S
2026-12-25,PICKING,24250,23,S
2026-12-26,PICKING,24250,23,S
2026-12-27,PICKING,24250,23,S
2026-12-28,PICKING,24250,23,S
2026-12-29,PICKING,24250,23,S
2026-12-30,PICKING,24250,23,S
2026-12-24,PICKING,24250,23,S
2026-12-25,PICKING,24250,23,S
2026-12-26,PICKING,24250,23,S
2026-12-27,PICKING,24250,23,S
2026-12-28,PICKING,24250,23,S
2026-12-29,PICKING,24250,23,S
2026-12-30,PICKING,24250,23,S
